,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
59,21,Christmas Street,Adam,Saunders,75,Husband,Married,Male,Retired Production engineer,None,None
60,22,Christmas Street,Richard,Iqbal,44,Head,Single,Male,Insurance account manager,None,None
61,22,Christmas Street,Tina,Webster,41,Partner,Single,Female,Location manager,None,None
62,23,Christmas Street,Carly,Godfrey,48,Head,Single,Female,Podiatrist,None,Methodist
63,23,Christmas Street,Jean,Godfrey,2,Daughter,NA,Female,Child,None,NA
64,23,Christmas Street,Josephine,Godfrey,2,Daughter,NA,Female,Child,None,NA
65,23,Christmas Street,Diane,Mitchell,21,Lodger,Single,Female,University Student,None,None
66,23,Christmas Street,Brandon,Smith,43,Lodger,Single,Male,"Engineer, energy",None,Christian
67,24,Christmas Street,Sally,Clayton,56,Head,Single,Female,"Librarian, public",None,Methodist
68,24,Christmas Street,Reece,Clayton,20,Son,Divorced,Male,University Student,None,None
69,25,Christmas Street,Margaret,Taylor,41,Head,Married,Female,"Geologist, wellsite",None,None
70,25,Christmas Street,Darren,Taylor,43,Husband,Married,Male,"Presenter, broadcasting",None,None
71,25,Christmas Street,Dawn,Taylor,10,Daughter,NA,Female,Student,None,NA
72,26,Christmas Street,Joanne,Hall,39,Head,Married,Female,Marine scientist,None,Catholic
73,26,Christmas Street,Frank,Hall,41,Husband,Married,Male,Midwife,None,None
74,27,Christmas Street,Bryan,Wright-Edwards,37,Head,Single,Male,Physiotherapist,None,Christian
75,27,Christmas Street,Kerry,Booth,31,Partner,Single,Female,"Accountant, chartered public finance",None,Christian
76,27,Christmas Street,Gavin,Wright-Edwards,14,Son,NA,Male,Student,None,NA
77,27,Christmas Street,Jeremy,Wright-Edwards,12,Son,NA,Male,Student,None,NA
78,28,Christmas Street,Hollie,Osborne,29,Head,Married,Female,"Designer, textile",None,Christian
79,28,Christmas Street,Henry,Osborne,33,Husband,Married,Male,"Research officer, trade union",None,Christian
80,29,Christmas Street,Joanna,Thomas,63,Head,Widowed,Female,Oncologist,None,Christian
81,29,Christmas Street,Jenna,Thomas,34,Daughter,Divorced,Female,"Engineer, site",None,Christian
82,30,Christmas Street,Cameron,Morris,50,Head,Single,Male,"Designer, exhibition/display",None,Methodist
83,30,Christmas Street,Lucy,Shepherd,42,Partner,Single,Female,Public house manager,None,None
84,31,Christmas Street,Josephine,Butler,79,Head,Married,Female,Retired Mining engineer,None,Methodist
85,31,Christmas Street,Declan,Butler,81,Husband,Married,Male,Retired Leisure centre manager,None,Methodist
86,31,Christmas Street,George,Butler,38,Son,Single,male,Garment/textile technologist,None,None
87,32,Christmas Street,Alice,Jones,44,Head,Married,Female,Dance movement psychotherapist,None,None
88,32,Christmas Street,Craig,Jones,48,Husband,Married,M,"Engineer, broadcasting (operations)",None,None
89,32,Christmas Street,Hannah,Jones,19,Daughter,Single,Female,University Student,None,None
90,32,Christmas Street,Ronald,Lamb-Jones,18,Son,Single,Male,Student,None,None
91,32,Christmas Street,Amanda,Lamb-Jones,5,Daughter,NA,female,Student,None,NA
92,33,Christmas Street,Danny,Howarth,49,Head,Single,Male,Clinical research associate,None,Christian
93,34,Christmas Street,Jodie,Davies,30,Head,Single,Female,Acupuncturist,None,None
94,34,Christmas Street,Susan,Davies,0,Daughter,NA,Female,Child,None,NA
95,34,Christmas Street,Leah,Wilson,20,Lodger,Single,Female,University Student,None,None
96,34,Christmas Street,Vanessa,Shaw,21,Lodger,Single,Female,University Student,None,Methodist
97,35,Christmas Street,Kimberley,Thomson,48,Head,Married,Female,"Buyer, retail",None,Catholic
98,35,Christmas Street,George,Thomson,50,Husband,Married,Male,Fast food restaurant manager,None,None
99,35,Christmas Street,Daniel,Hall-Thomson,22,Son,Single,Male,University Student,None,Catholic
100,36,Christmas Street,Claire,Butler,86,Head,Widowed,Female,Unemployed,None,Christian
101,36,Christmas Street,Clifford,Butler,50,Son,Divorced,Male,Printmaker,None,None
102,36,Christmas Street,Nicholas,Butler,42,Son,Divorced,Male,"Editor, magazine features",None,None
103,36,Christmas Street,Nicola,Butler,41,Daughter,Single,Female,Civil Service fast streamer,None,None
104,37,Christmas Street,Frances,Morgan,81,Head,Married,Female,Retired Ergonomist,None,Christian
105,37,Christmas Street,Leigh,Morgan,83,Husband,Married,Male,Retired Environmental health practitioner,None,Christian
106,38,Christmas Street,Samantha,Brown,41,Head,Married,Female,Broadcast engineer,None,Catholic
107,38,Christmas Street,Nathan,Brown,44,Husband,Married,Male,"Research officer, political party",None,Catholic
108,38,Christmas Street,Grace,Banks,63,Lodger,Divorced,Female,"Pharmacist, community",None,Christian
109,39,Christmas Street,Shirley,Dawson,28,Head,Single,Female,Tourism officer,None,None
110,39,Christmas Street,Patricia,Ellis,39,None,Single,Female,"Investment banker, corporate",None,Catholic
111,40,Christmas Street,Sheila,Jackson,75,Head,Married,Female,"Retired Engineer, broadcasting (operations)",None,None
112,40,Christmas Street,Gareth,Jackson,79,Husband,Married,Male,Retired Training and development officer,None,None
113,41,Christmas Street,Hollie,Stephens,55,Head,Divorced,Female,Sports coach,None,None
114,41,Christmas Street,Bradley,King,7,Grandson,NA,Male,Student,None,NA
115,42,Christmas Street,Jodie,Wood,43,Head,Divorced,Female,Unemployed,None,None
116,42,Christmas Street,Charlene,Wood,14,Daughter,NA,f,Student,None,NA
117,43,Christmas Street,Irene,Harris,81,Head,Widowed,Female,"Retired Loss adjuster, chartered",None,Muslim
118,44,Christmas Street,Tony,Jones,73,Head,Married,Male,"Retired Psychologist, educational",None,Christian
119,44,Christmas Street,Jill,Jones,69,Wife,Married,Female,Retired English as a foreign language teacher,None,Christian
120,45,Christmas Street,Melanie,Edwards,48,Head,Single,Female,Management consultant,None,Christian
121,45,Christmas Street,Alex,Ellis,39,None,Single,Male,Homeopath,None,Methodist
122,45,Christmas Street,Michelle,Sinclair,28,None,Single,Female,Estate agent,None,None
123,46,Christmas Street,Garry,Hope,82,Head,Widowed,Male,"Retired Therapist, nutritional",None,None
124,47,Christmas Street,Elaine,Griffin,40,Head,Single,Female,Unemployed,None,Methodist
125,47,Christmas Street,Fiona,Griffin,3,Daughter,NA,Female,Child,None,NA
126,48,Christmas Street,Richard,Dyer,29,Head,Single,Male,Community education officer,None,Catholic
127,49,Christmas Street,Jonathan,Forster,73,Head,Married,Male,Retired Cytogeneticist,None,None
128,49,Christmas Street,Victoria,Forster,73,Wife,Married,Female,Retired Holiday representative,None,None
129,50,Christmas Street,Lauren,Stephenson,34,Head,Single,F,Hydrogeologist,None,Catholic
130,50,Christmas Street,Stanley,Thomson,44,Partner,Single,Male,Farm manager,None,Catholic
131,50,Christmas Street,Jack,Stephenson,11,Son,NA,Male,Student,None,NA
132,51,Christmas Street,Shannon,Tomlinson,57,Head,Married,Female,Veterinary surgeon,None,None
133,51,Christmas Street,Patrick,Tomlinson,61,Husband,Married,m,Software engineer,None,None
134,52,Christmas Street,Dominic,Gibbons,22,Head,Married,Male,University Student,None,Christian
135,52,Christmas Street,Denise,Gibbons,20,Wife,Married,Female,University Student,None,Christian
136,53,Christmas Street,Cheryl,Hill,47,Head,Single,Female,"Buyer, industrial",None,Christian
137,53,Christmas Street,Janet,Harris-Hill,21,Daughter,Single,Female,University Student,None,None
138,53,Christmas Street,Natalie,Harris-Hill,17,Daughter,NA,Female,Student,None,NA
139,53,Christmas Street,Tony,Harris-Hill,14,Son,NA,Male,Student,None,NA
140,1,Mistry Avenue,Marian,Hunt,64,Head,Divorced,Female,Unemployed,None,Christian
141,1,Mistry Avenue,Ruth,Hunt,23,Daughter,Single,Female,Clinical embryologist,None,Christian
142,1,Mistry Avenue,Carole,Hunt,15,Daughter,NA,Female,Student,None,NA
143,2,Mistry Avenue,Kimberley,Wilson,49,Head,Divorced,Female,Dealer,None,None
144,2,Mistry Avenue,Francis,Wilson,7,Son,NA,Male,Student,None,NA
145,2,Mistry Avenue,Carol,Wilson,6,Daughter,NA,Female,Student,None,NA
146,2,Mistry Avenue,Vanessa,Wilson,6,Daughter,NA,Female,Student,None,NA
147,3,Mistry Avenue,Jeffrey,Brown,34,Head,Married,Male,Occupational hygienist,None,None
148,3,Mistry Avenue,Kathryn,Brown,32,Wife,Married,Female,"Engineer, materials",None,None
149,3,Mistry Avenue,Clare,Francis,8,Step-Daughter,NA,Female,Student,None,NA
150,4,Mistry Avenue,Bernard,Miller,74,Head,Divorced,Male,Unemployed,None,Methodist
151,4,Mistry Avenue,Rebecca,Miller,34,Daughter,Divorced,Female,Theme park manager,None,None
152,4,Mistry Avenue,Ellie,Miller,30,Daughter,Single,Female,Radio broadcast assistant,None,Methodist
153,5,Mistry Avenue,Kieran,Mills,20,Head,Single,Male,University Student,None,None
154,5,Mistry Avenue,Martyn,Thompson,19,None,Single,Male,University Student,None,Christian
155,5,Mistry Avenue,Stephen,Johnson,22,None,Single,Male,University Student,None,Christian
156,5,Mistry Avenue,Alison,Collins,23,None,Single,Female,PhD Student,None,Christian
157,6,Mistry Avenue,Leonard,Jones,75,Head,Married,Male,"Retired Surveyor, rural practice",None,Christian
158,6,Mistry Avenue,Carly,Jones,69,Wife,Married,Female,Retired Chief Strategy Officer,None,Christian
159,7,Mistry Avenue,Kate,Lee,33,Head,Married,Female,Accommodation manager,None,None
160,7,Mistry Avenue,Paul,Lee,34,Husband,Married,Male,Unemployed,None,None
161,7,Mistry Avenue,Peter,Lewis,43,Lodger,Single,male,Psychotherapist,None,None
162,7,Mistry Avenue,Stanley,King,64,Lodger,Single,M,Health and safety adviser,None,None
163,1,Kelly Dam,Megan,Williams,77,Head,Widowed,Female,Retired Homeopath,None,Catholic
164,2,Kelly Dam,Jason,Mason,18,Head,Married,Male,Student,None,NA
165,2,Kelly Dam,Helen,Mason,19,Wife,Married,Female,University Student,None,NA
166,3,Kelly Dam,Geoffrey,Summers,77,Head,Divorced,Male,Retired Chief Executive Officer,None,None
167,4,Kelly Dam,Joanne,Bull,22,Head,Single,Female,Unemployed,None,None
168,4,Kelly Dam,Abbie,Bull,5,Daughter,NA,Female,Student,None,NA
169,5,Kelly Dam,Lynn,Smith,73,Head,Divorced,Female,"Retired Designer, industrial/product",None,Christian
170,6,Kelly Dam,Paige,Cole,46,Head,Divorced,Female,Unemployed,None,Catholic
171,6,Kelly Dam,Hollie,Cole,9,Daughter,NA,Female,Student,None,NA
172,7,Kelly Dam,Helen,Matthews,80,Head,Widowed,Female,"Retired Programme researcher, broadcasting/film/video",None,None
173,8,Kelly Dam,Jake,Browne,25,Head,Single,Male,Midwife,None,None
174,9,Kelly Dam,Aaron,Harris,71,Head,Widowed,Male,Retired Insurance underwriter,None,Christian
175,10,Kelly Dam,Carolyn,Newman,44,Head,Single,Female,Unemployed,None,Christian
176,10,Kelly Dam,Janet,Newman,14,Daughter,NA,Female,Student,None,NA
177,11,Kelly Dam,Abigail,Houghton,33,Head,Married,Female,Osteopath,None,None
178,11,Kelly Dam,Bryan,Houghton,29,Husband,Married,m,Proofreader,None,None
179,11,Kelly Dam,Donna,Houghton,11,Daughter,NA,Female,Student,None,NA
180,12,Kelly Dam,Diana,Green,82,Head,Married,Female,Retired Neurosurgeon,None,Methodist
181,12,Kelly Dam,Ross,Green,84,Husband,Married,Male,Retired Commercial art gallery manager,None,Methodist
182,13,Kelly Dam,Donna,Wilkinson,68,Head,Single,Female,"Retired Psychologist, forensic",None,Muslim
183,14,Kelly Dam,June,Spencer,63,Head,Single,Female,"Teacher, special educational needs",None,Christian
184,15,Kelly Dam,Alan,Tyler,36,Head,Divorced,male,Radio producer,None,Pagan
185,16,Kelly Dam,Aaron,Jackson,46,Head,Single,Male,"Scientist, research (life sciences)",None,None
186,17,Kelly Dam,Glenn,White,44,Head,Divorced,Male,Consulting civil engineer,None,Catholic
187,18,Kelly Dam,Timothy,Williams,30,Head,Single,Male,Product designer,None,None
188,19,Kelly Dam,Michelle,Young,59,Head,Single,Female,"Civil engineer, contracting",None,Methodist
189,20,Kelly Dam,Bryan,Williams,59,Head,Single,Male,Farm manager,None,Christian
190,20,Kelly Dam,Jennifer,Miah,64,None,S,Female,Astronomer,None,Christian
191,21,Kelly Dam,Amelia,Harrison,61,Head,Single,Female,Mental health nurse,None,None
192,22,Kelly Dam,Stephen,Taylor,66,Head,Widowed,Male,Museum/gallery exhibitions officer,None,None
193,23,Kelly Dam,Chelsea,Fletcher,18,Head,Single,Female,Student,None,NA
194,23,Kelly Dam,Eileen,Jackson,52,None,Widowed,Female,Data processing manager,None,None
195,24,Kelly Dam,Deborah,King,27,Head,Single,Female,"Secretary, company",None,None
196,25,Kelly Dam,Iain,Jones,70,Head,Widowed,Male,Retired Meteorologist,None,Christian
197,26,Kelly Dam,Henry,Howells,62,Head,Single,Male,"Editor, magazine features",None,Christian
198,27,Kelly Dam,Joanne,Swift,78,Head,Widowed,Female,"Retired Restaurant manager, fast food",None,Christian
199,27,Kelly Dam,Lauren,Swift,50,Daughter,Single,Female,Unemployed,None,Christian
200,28,Kelly Dam,Max,Hunter,32,Head,Single,Male,Planning and development surveyor,None,Christian
201,29,Kelly Dam,Kieran,Chambers,38,Head,Married,Male,"Psychologist, sport and exercise",None,Christian
202,29,Kelly Dam,Leanne,Chambers,31,Wife,Married,Female,"Pilot, airline",None,Christian
203,30,Kelly Dam,Jacqueline,Barker,67,Head,Widowed,Female,Manufacturing systems engineer,None,Christian
204,31,Kelly Dam,Nathan,Reid,77,Head,Widowed,Male,"Retired Surveyor, hydrographic",None,Christian
205,1,Truro Lane,Graham,Robertson,44,Head,Married,Male,Hydrogeologist,None,None
206,1,Truro Lane,Grace,Robertson,42,Wife,Married,Female,Pathologist,None,None
207,1,Truro Lane,Adam,Robertson,6,Son,NA,Male,Student,None,NA
208,2,Truro Lane,Lynne,Nicholls,38,Head,Single,Female,Futures trader,None,None
209,3,Truro Lane,Geraldine,Peters,59,Head,Single,Female,"Teacher, music",None,None
210,4,Truro Lane,Joseph,Roberts,71,Head,Divorced,Male,"Retired Journalist, magazine",None,Christian
211,5,Truro Lane,Charlie,May,41,Head,Single,Male,Legal secretary,None,Catholic
212,5,Truro Lane,Paul,Kirby,40,None,Single,Male,IT sales professional,None,Christian
213,6,Truro Lane,Henry,Rees,70,Head,Married,Male,Retired Exercise physiologist,None,Methodist
214,6,Truro Lane,Kimberley,Rees,65,Wife,Married,Female,Quarry manager,None,Methodist
215,7,Truro Lane,Christian,Edwards,61,Head,Single,Male,Games developer,None,None
216,8,Truro Lane,Sandra,Dunn-Dodd,40,Head,Divorced,Female,Unemployed,None,Catholic
217,8,Truro Lane,Steven,Johnson,5,Son,NA,Male,Student,None,NA
218,9,Truro Lane,Donald,Jenkins,34,Head,Single,Male,Agricultural consultant,None,None
219,10,Truro Lane,Allan,Whitehead,75,Head,Married,Male,Retired Management consultant,None,Christian
220,10,Truro Lane,Lesley,Whitehead,75,Wife,Married,Female,Unemployed,None,None
221,11,Truro Lane,Ellie,Powell,26,Head,Divorced,Female,Financial controller,None,Christian
222,12,Truro Lane,Cameron,Smith,22,Head,Single,Male,University Student,None,None
223,13,Truro Lane,Jeffrey,Jackson,73,Head,Married,Male,Retired Market researcher,None,None
224,13,Truro Lane,Nicole,Jackson,71,Wife,Married,Female,Retired Financial planner,None,None
225,14,Truro Lane,Jayne,Burke,67,Head,Widowed,Female,Optometrist,None,Catholic
226,15,Truro Lane,Marion,Harris,84,Head,Widowed,Female,Retired IT sales professional,None,Catholic
227,16,Truro Lane,Marilyn,Turner,33,Head,Single,Female,Museum/gallery exhibitions officer,None,None
228,16,Truro Lane,Lisa,Turner,8,Daughter,NA,Female,Student,None,NA
229,16,Truro Lane,Leanne,Turner,6,Daughter,NA,Female,Student,None,NA
230,17,Truro Lane,Alexandra,Lewis,66,Head,Married,Female,Unemployed,None,None
231,17,Truro Lane,Ross,Lewis,69,Husband,Married,Male,"Retired Programmer, multimedia",None,None
232,18,Truro Lane,Danielle,Baxter,48,Head,Single,Female,Tourist information centre manager,None,Muslim
233,18,Truro Lane,Antony,Barber,56,None,Single,Male,"Geologist, wellsite",None,Christian
234,18,Truro Lane,Alex,Dawson,30,None,Single,Male,Commercial horticulturist,None,None
235,19,Truro Lane,Anna,Field,43,Head,Single,Female,"Administrator, sports",None,None
236,20,Truro Lane,Jake,Mitchell,24,Head,Single,Male,Commercial horticulturist,None,None
237,21,Truro Lane,Brett,Parker,46,Head,Divorced,Male,Estate agent,None,Christian
238,22,Truro Lane,Sophie,Ford,49,Head,Married,Female,Theme park manager,None,Christian
239,22,Truro Lane,Kenneth,Ford,53,Husband,Married,Male,Unemployed,None,Christian
240,23,Truro Lane,Martyn,Sinclair,30,Head,Single,Male,Purchasing manager,None,None
241,23,Truro Lane,Rachael,Dean,26,Partner,Single,Female,"Scientist, water quality",None,None
242,23,Truro Lane,Christine,Bibi-Sinclair,5,Daughter,NA,F,Student,None,NA
243,24,Truro Lane,Georgina,Edwards,77,Head,Widowed,Female,Retired Architect,None,Methodist
244,25,Truro Lane,Rebecca,Brown,36,Head,Single,Female,Unemployed,None,Catholic
245,25,Truro Lane,Lydia,Hardy,43,Lodger,Single,Female,"Designer, graphic",None,Methodist
246,25,Truro Lane,Ashleigh,Price,53,Lodger,Single,Female,Theatre director,None,Catholic
247,26,Truro Lane,Toby,Jennings,60,Head,Widowed,Male,Sub,None,Methodist
248,27,Truro Lane,Daniel,Myers,74,Head,Married,Male,Retired Printmaker,None,None
249,27,Truro Lane,Marilyn,Myers,74,Wife,Married,Female,Retired Print production planner,None,None
250,28,Truro Lane,Jasmine,Thompson,41,Head,Single,Female,Government social research officer,None,Catholic
251,29,Truro Lane,Kelly,Cook,35,Head,Married,Female,"Engineer, energy",None,None
252,29,Truro Lane,Jonathan,Cook,37,Husband,Married,Male,Database administrator,None,None
253,29,Truro Lane,Diane,Cook,11,Daughter,NA,Female,Student,None,NA
254,30,Truro Lane,Anna,Yates,42,Head,Single,Female,Tax inspector,None,Catholic
255,31,Truro Lane,Mark,Carter,73,Head,Widowed,Male,Retired Archivist,None,Christian
256,32,Truro Lane,Danielle,Brown,41,Head,Single,Female,Food technologist,None,Catholic
257,33,Truro Lane,Francis,Palmer,64,Head,Single,Male,Licensed conveyancer,None,Catholic
258,34,Truro Lane,Neil,Foster,41,Head,Married,m,Ambulance person,None,Christian
259,34,Truro Lane,Annette,Foster,40,Wife,Married,Female,English as a second language teacher,None,Christian
260,34,Truro Lane,Gareth,Foster,18,Son,Widowed,Male,Student,None,None
261,35,Truro Lane,Ruth,Rowe,78,Head,Widowed,Female,Retired Financial adviser,None,Christian
262,36,Truro Lane,Mathew,Poole,86,Head,Divorced,Male,"Retired Engineer, maintenance (IT)",None,Methodist
263,37,Truro Lane,Lesley,Morris,83,Head,Widowed,Female,Retired Pathologist,None,Catholic
264,38,Truro Lane,Ellie,Cook,54,Head,Single,Female,Economist,None,Christian
265,39,Truro Lane,Gemma,Jenkins,65,Head,Single,Female,"Designer, ceramics/pottery",None,Catholic
266,40,Truro Lane,Lawrence,Lees,46,Head,Divorced,Male,Prison officer,None,None
267,41,Truro Lane,Connor,Welch,69,Head,Divorced,Male,Retired Outdoor activities/education manager,None,None
268,42,Truro Lane,Marion,Cook,67,Head,Divorced,Female,"Lecturer, further education",None,Catholic
269,43,Truro Lane,Sharon,Shepherd,58,Head,Married,Female,Unemployed,None,Christian
270,43,Truro Lane,Harry,Shepherd,59,Husband,Married,Male,Unemployed,None,None
271,44,Truro Lane,Owen,Roberts,35,Head,Divorced,Male,Herpetologist,None,None
272,45,Truro Lane,Debra,Perkins,69,Head,Widowed,Female,Retired Mechanical engineer,None,Christian
273,46,Truro Lane,Lynn,Ellis,69,Head,Widowed,Female,Retired Community arts worker,None,None
274,1,Davies Street,Terry,Tomlinson,24,Head,Single,Male,Software engineer,None,Jewish
275,2,Davies Street,Jamie,Hamilton,19,Head,Single,Male,University Student,None,Muslim
276,2,Davies Street,Sophie,Cooper,20,None,Single,Female,University Student,None,Methodist
277,3,Davies Street,Shannon,Hurst,36,Head,Married,Female,Mudlogger,None,None
278,3,Davies Street,Garry,Hurst,39,Husband,Married,Male,Patent examiner,None,None
279,4,Davies Street,Eileen,Evans,67,Head,Married,Female,"Production assistant, television",None,Christian
280,4,Davies Street,Lee,Evans,70,Husband,Married,Male,Retired Clinical psychologist,None,None
281,5,Davies Street,Benjamin,Weston,81,Head,Widowed,Male,Retired Dealer,None,Christian
282,6,Davies Street,Dawn,Hunter,58,Head,Married,Female,Health physicist,None,None
283,6,Davies Street,Josh,Hunter,60,Husband,Married,Male,Camera operator,None,Methodist
284,7,Davies Street,Adam,Davies,27,Head,Married,Male,Jewellery designer,None,Catholic
285,7,Davies Street,Ellie,Davies,24,Wife,Married,Female,Sports therapist,None,Catholic
286,8,Davies Street,Keith,Lynch,76,Head,Married,male,Retired Sales executive,None,None
287,8,Davies Street,Patricia,Lynch,74,Wife,Married,Female,Retired Aid worker,None,None
288,9,Davies Street,Samantha,Dale,84,Head,Single,Female,"Retired Surveyor, rural practice",None,Methodist
289,10,Davies Street,Josh,Dixon,61,Head,Married,Male,Biomedical scientist,None,None
290,10,Davies Street,Lauren,Dixon,59,Wife,Married,Female,Clinical cytogeneticist,None,None
291,11,Davies Street,Hayley,Rose,54,Head,Married,Female,"Engineer, site",None,Christian
292,11,Davies Street,Jeremy,Rose,60,Husband,Married,Male,Unemployed,None,Christian
293,11,Davies Street,Howard,Rose,12,Son,NA,Male,Student,None,NA
294,11,Davies Street,Brenda,Rose,10,Daughter,NA,Female,Student,None,NA
295,11,Davies Street,Joanne,Rose,10,Daughter,NA,Female,Student,None,NA
296,12,Davies Street,Julian,Clarke,35,Head,Married,Male,"Administrator, sports",None,None
297,12,Davies Street,Kimberley,Clarke,40,Wife,Married,Female,Artist,None,None
298,12,Davies Street,Vanessa,Clarke,10,Daughter,NA,Female,Student,None,NA
299,12,Davies Street,Dennis,Clarke,8,Son,NA,Male,Student,None,NA
300,13,Davies Street,Heather,Brown,57,Head,Single,Female,Forensic scientist,None,Christian
301,13,Davies Street,George,Dawson,61,Partner,Single,Male,Plant breeder/geneticist,None,Christian
302,14,Davies Street,Gregory,Carroll,81,Head,Widowed,M,Retired Rural practice surveyor,None,Methodist
303,15,Davies Street,Brandon,Ellis,88,Head,Married,Male,Retired Publishing copy,None,None
304,15,Davies Street,Lydia,Ellis,91,Wife,Married,Female,Retired IT sales professional,None,None
